Month,Day,Year,model,skintone,lightness_value,date,clean_date
8,1,2004,Lisa-Marie Presley,#D2B59F,0.724420677,8/1/2004,2004-8-1
3,1,2006,Natalie Portman,#D6B39B,0.724893436,3/1/2006,2006-3-1
9,1,2016,Kendall Jenner,#E6A08B,0.725816993,9/1/2016,2016-9-1
9,1,2000,Bridget Hall,#DEAC94,0.726797386,9/1/2000,2000-9-1
8,1,2007,Winona Ryder,#CEAFA4,0.727591036,8/1/2007,2007-8-1
7,1,2001,Catherine Zeta-Jones,#D3AEA0,0.72872549,7/1/2001,2001-7-1
1,1,2014,Cate Blanchett,#DCAE97,0.729019608,1/1/2014,2014-1-1
2,1,2016,Penelope Cruz,#E3AF90,0.729102167,2/1/2016,2016-2-1
1,1,2013,Gwen Stefani,#DDBC97,0.730147059,1/1/2013,2013-1-1
2,1,2011,Kristen Stewart,#D6B79E,0.731652661,2/1/2011,2011-2-1
11,1,2004,Jennifer Connelly,#DDBA97,0.731862745,11/1/2004,2004-11-1
8,1,2010,Gwyneth Paltrow,#DDBD9A,0.7375,8/1/2010,2010-8-1
6,1,2014,Charlize Theron,#E6A992,0.738562092,6/1/2014,2014-6-1
4,1,2014,Kim Kardashian,#E1B297,0.739542484,4/1/2014,2014-4-1
4,1,2002,Angelina Jolie,#D8B3A0,0.73977591,4/1/2002,2002-4-1
11,1,2013,Kate Winslet,#E0B198,0.74004128,11/1/2013,2013-11-1
5,1,2016,Taylor Swift,#DFAF9A,0.740196078,5/1/2016,2016-5-1
9,1,2002,Kate Hudson,#D8B5A1,0.741421569,9/1/2002,2002-9-1
10,1,2010,Carey Mulligan,#E0BF9A,0.743137255,10/1/2010,2010-10-1
2,1,2017,Dakota Johnson,#E1A899,0.744019608,2/1/2017,2017-2-1
11,1,2014,Natalia Vodianova,#EEB88D,0.74422658,11/1/2014,2014-11-1
11,1,2011,Rooney Mara,#D1B6AB,0.746588235,11/1/2011,2011-11-1
11,1,2002,Renee Zellweger,#D7B5A6,0.747593583,11/1/2002,2002-11-1
1,1,2016,Alicia Vikander,#E7AC96,0.749535604,1/1/2016,2016-1-1
2,1,2005,Melania Trump,#DBBCA2,0.74956427,2/1/2005,2005-2-1
3,1,2003,Julianne Moore,#D5B6AB,0.754411765,3/1/2003,2003-3-1
11,1,2012,Rihanna,#F3B18D,0.7544406,11/1/2012,2012-11-1
1,1,2010,Rachel McAdams,#D6BAAA,0.754901961,1/1/2010,2010-1-1
5,1,2013,Carey Mulligan,#E2BF9E,0.755882353,5/1/2013,2013-5-1
7,1,2015,Cara Delevingne,#ECAE95,0.756732026,7/1/2015,2015-7-1
7,1,2016,Amy Schumer,#E4BD9D,0.756951872,7/1/2016,2016-7-1
8,1,2004,Riley Keough,#D5BBAC,0.757329599,8/1/2004,2004-8-1
12,1,2011,Charlize Theron,#DDBEA5,0.759728507,12/1/2011,2011-12-1
3,1,2018,Alicia Vikander,#EABB9A,0.76307189499999994,3/1/2018,2018-3-1
2,1,2015,Dakota Johnson,#F3AC92,0.764488017,2/1/2015,2015-2-1
2,1,2012,Taylor Swift,#DCC0AC,0.770868347,2/1/2012,2012-2-1
5,1,2015,Carey Mulligan,#F0BA98,0.771323529,5/1/2015,2015-5-1
8,1,2004,Priscilla Presley,#D4C0B5,0.772096531,8/1/2004,2004-8-1
4,1,2005,Drew Barrymore,#DCC4AD,0.772331155,4/1/2005,2005-4-1
7,1,2008,Nicole Kidman,#DCC5AD,0.773109244,7/1/2008,2008-7-1
9,1,2013,Jennifer Lawrence,#ECBC9E,0.774625144,9/1/2013,2013-9-1
2,1,2014,Lena Dunham,#E0C1AC,0.77739331,2/1/2014,2014-2-1
5,1,2017,Katy Perry,#E7BDA7,0.782085561,5/1/2017,2017-5-1
10,1,2011,Michelle Williams,#D5CBBB,0.786181139,10/1/2011,2011-10-1
11,1,2007,Jennifer Connelly,#E8C5AA,0.790196078,11/1/2007,2007-11-1
10,1,2009,Michelle Williams,#E5CBAD,0.791021672,10/1/2009,2009-10-1
8,1,2013,Claire Danes,#EFC5A4,0.792810458,8/1/2013,2013-8-1
3,1,2016,Adele,#F0BBA5,0.794509804,3/1/2016,2016-3-1
7,1,2011,Emma Watson,#E1C5B4,0.795588235,7/1/2011,2011-7-1
3,1,2012,Adele,#D7C7BF,0.797888386,3/1/2012,2012-3-1
11,1,2016,Emma Stone,#E7C2B2,0.802941176,11/1/2016,2016-11-1
3,1,2011,Lady Gaga,#E0C9B9,0.803267974,3/1/2011,2011-3-1
5,1,2014,Emma Stone,#E6BDB4,0.805190311,5/1/2014,2014-5-1
5,1,2008,Gwyneth Paltrow,#E0C4BA,0.806302521,5/1/2008,2008-5-1
10,1,2018,Lady Gaga,#DDCAC0,0.812655971,10/1/2018,2018-10-1
9,1,2004,Gisele Bundchen,#EBCDB3,0.813112745,9/1/2004,2004-9-1
2,1,2013,Rooney Mara,#EDC8B4,0.818995098,2/1/2013,2013-2-1
12,1,2000,Nicole Kidman,#DACFC7,0.820588235,12/1/2000,2000-12-1
7,1,2013,Katy Perry,#EDCAB5,0.821799308,7/1/2013,2013-7-1
10,1,2012,Keira Knightley,#EEBFB4,0.82254902,10/1/2012,2012-10-1
4,1,2018,Kendall Jenner,#E7CDBC,0.824355005,4/1/2018,2018-4-1
12,1,2012,Anne Hathaway,#EBD1BD,0.833946078,12/1/2012,2012-12-1
9,1,2004,Daria Werbowy,#ECD1BD,0.834858388,9/1/2004,2004-9-1
9,1,2012,Lady Gaga,#E2D1C7,0.835729847,9/1/2012,2012-9-1
9,1,2004,Natalia Vodianova,#F0D6C4,0.855555556,9/1/2004,2004-9-1
12,1,2014,Amy Adams,#ECCDC9,0.857352941,12/1/2014,2014-12-1
11,1,2018,Claire Foy,#EFD0C5,0.858226769,11/1/2018,2018-11-1
12,1,2013,Jessica Chastain,#F8D2BE,0.86127451,12/1/2013,2013-12-1
11,1,2010,Anne Hathaway,#F6D9CB,0.882352941,11/1/2010,2010-11-1
